Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
49,http://ww3.sinaimg.cn/mw1024/5ff4534ejw1epv1gccbwaj20ku0fmq5e.jpg,染，唤醒大家环保意识@柴静看见 @柴静有约,"(750, 562)",1609847630,刚刚驾到v,http://tp3.sinaimg.cn/1609847630/180/40012574005/1,"(50, 50)",44,1,23.129163,113.264435,Guǎngzhōu 广州,广东 广州,m,283,None,3,80,22,takepollutionpics
50,http://ww4.sinaimg.cn/mw1024/a05ebd8ejw1epuuqpjoclj20dc0hstad.jpg,<strong>#随手拍污染#滚滚浓烟，着实影响呼</strong>,"(480, 640)",2690563470,小眼睛珊珊,http://ww2.sinaimg.cn/crop.0.0.199.199.1024/a05ebd8ejw1ed8qyz1phaj205k05kmxd.jpg,"(50, 50)",100,1000,,,Unknown,其他,f,15,None,24,80,16,takepollutionpics
51,http://ww3.sinaimg.cn/mw1024/6e63e6e5jw1edwvgxbu40j20m80godgg.jpg,随手拍污染！！！,"(800, 600)",1852040933,我还是原来的小涛子,http://tp2.sinaimg.cn/1852040933/180/5626264281/1,"(50, 50)",37,7,36.706691,119.16193,Wéifāng 潍坊,山东 潍坊,m,36,None,None,80,14,takepollutionpics
52,http://ww3.sinaimg.cn/mw1024/dcd2229ejw1erd5udzn42j20hs0dcjsd.jpg,拍#蓝蓝的天空，就这样被污染了！@陕西环保,"(640, 480)",3704758942,新闻娃,http://ww4.sinaimg.cn/crop.0.0.750.750.1024/dcd2229ejw8eqo4br6bchj20ku0ku0tf.jpg,"(50, 50)",61,1,34.264987,108.944269,Xī'ān 西安,陕西 西安,m,3107,None,12,80,21,takepollutionpics
53,http://ww3.sinaimg.cn/mw1024/c7343dd4jw1er3okjnoxdj20c80icabb.jpg,“大汉山顶上看汉中！感觉污染好大的说！”,"(440, 660)",3342089684,汉中身边事,http://ww4.sinaimg.cn/crop.2.4.170.170.1024/c7343dd4jw8epp4lrm726j20500503yk.jpg,"(50, 50)",61,7,33.06748,107.023323,Hànzhōng 汉中,陕西 汉中,m,879,None,12,80,21,takepollutionpics
54,http://ww2.sinaimg.cn/mw1024/b33c7e19jw1eqx18195tlj21w02iokjl.jpg,随手拍 污染,"(1024, 1365)",3007086105,Moo_y,http://ww1.sinaimg.cn/crop.0.0.511.511.1024/b33c7e19jw8eoywmxijbej20e70e8t97.jpg,"(50, 50)",100,1000,,,Unknown,其他,f,37,None,110,80,17,takepollutionpics
55,http://ww1.sinaimg.cn/mw1024/92538aa8jw1eqmcfaegnpj20no0hs77u.jpg,居民楼就在厂区五百米以内 |韶钢集团有...,"(852, 640)",2454948520,秋绿叶,http://tp1.sinaimg.cn/2454948520/180/5614697272/0,"(50, 50)",44,1,23.129163,113.264435,Guǎngzhōu 广州,广东 广州,f,333,None,14,80,9,takepollutionpics
56,http://ww3.sinaimg.cn/mw1024/90d0baebjw1eqb98qx879j20hs0hsgpa.jpg,哈哈你们要跟我友尽嘛#随手拍身边精神污染#,"(640, 640)",2429598443,凛冽猫子娘口酱,http://ww2.sinaimg.cn/crop.0.1.640.640.1024/90d0baebjw8epxdme2o74j20hs0huweq.jpg,"(50, 50)",37,7,36.706691,119.16193,Wéifāng 潍坊,山东 潍坊,f,323,None,14,80,22,takepollutionpics
57,http://ww2.sinaimg.cn/mw1024/4557d79ejw1eq2pzel877j20dc0hstbj.jpg,#污染随手拍#长水路附近全淹了@丽江新闻办,"(480, 640)",1163384734,吴晗,http://ww1.sinaimg.cn/crop.0.0.638.638.1024/4557d79ejw8effc6jddwbj20hq0hqwfc.jpg,"(50, 50)",42,1,30.593087,114.305357,Wǔhàn 武汉,湖北 武汉,m,961,None,40,80,24,takepollutionpics
58,http://ww4.sinaimg.cn/mw1024/68bb1e37jw1eq0a8g2y47j20wy18gtf1.jpg,#随手拍黑烟囱#白烟囱就没有污染了吗,"(1024, 1381)",1757093431,胡月Tiamo爱自己,http://ww3.sinaimg.cn/crop.0.0.1080.1080.1024/68bb1e37jw8er7s8m4ke0j20u00u0tbi.jpg,"(50, 50)",42,5,30.691967,111.286471,Yíchāng 宜昌,湖北 宜昌,f,53,None,187,80,23,takepollutionpics
59,http://ww1.sinaimg.cn/mw1024/937ad9edjw1epx8u8qofhj20sg16cdkf.jpg,程度！#随手拍黑烟囱#势在必行！ |南四纬路,"(1024, 1524)",2474301933,大四平网,http://ww4.sinaimg.cn/crop.0.0.180.180.1024/937ad9edjw8eq6e46ebd6j20500503yl.jpg,"(50, 50)",22,3,43.16642,124.350398,Sìpíng 四平,吉林 四平,m,45,None,4,80,16,takepollutionpics
60,http://ww3.sinaimg.cn/mw1024/8f82707fjw1epwe5lrkmqj218g18gtwf.jpg,拍的很美腻。随手拍新乡的污染源，白烟囱。,"(1024, 1024)",2407690367,奶茶只有半杯半,http://tp4.sinaimg.cn/2407690367/180/5660814631/0,"(50, 50)",41,1,34.7466,113.625368,Zhèngzhōu 郑州,河南 郑州,f,33,None,31,80,16,takepollutionpics
61,http://ww2.sinaimg.cn/mw1024/a3b9df07jw1epw7kmyrh5j20a00dc74c.jpg,http://t.cn/Rwmc5bO 来自@腾讯新闻客户端,"(360, 480)",2746867463,手机用户2746867463,http://tp4.sinaimg.cn/2746867463/180/5631083068/1,"(50, 50)",100,1000,,,Unknown,其他,m,227,None,None,80,19,takepollutionpics
62,http://ww3.sinaimg.cn/mw1024/ecc5f916jw1epvrkzl7k5j20xc18gwm2.jpg,影响到了周边居民的正常生活环境 |和谐钟塔,"(1024, 1365)",3972397334,Mysteryer是小晨迷,http://ww4.sinaimg.cn/crop.0.0.720.720.1024/ecc5f916jw8eraoctc8rsj20k00k040r.jpg,"(50, 50)",36,7,25.829209,114.933553,Gànzhōu 赣州,江西 赣州,m,510,None,20,80,16,takepollutionpics
63,http://ww3.sinaimg.cn/mw1024/73cf0048jw1eptmugav5aj20xc18gtje.jpg,拍#我都是通过这些烟判断风向的@环保汪昭华,"(1024, 1365)",1942945864,Liesel-Leslie,http://ww1.sinaimg.cn/crop.0.0.641.641.1024/73cf0048jw8eqj4fchch9j20ht0htq3m.jpg,"(50, 50)",100,1000,,,Unknown,其他,f,175,None,13,80,19,takepollutionpics
64,http://ww1.sinaimg.cn/mw1024/c0dd6f62jw1epr92yft7kj20np0hsjrt.jpg,污染源@乐山在线 @四川环保局 #环保随手拍#,"(853, 640)",3235737442,花宜云鬓,http://ww2.sinaimg.cn/crop.0.163.978.978.1024/c0dd6f62jw8egslxukbpjj20r610949l.jpg,"(50, 50)",51,1,30.658601,104.064856,Chéngdū 成都,四川 成都,f,31,None,1,80,12,takepollutionpics
65,http://ww3.sinaimg.cn/mw1024/89b98d71jw1ep19vkpqk6j218g0xc414.jpg,博环境污染#开发区的”乌云”几乎天天见～,"(1024, 768)",2310638961,y小辉哥,http://ww1.sinaimg.cn/crop.0.0.480.480.1024/89b98d71jw8ejjh0o43s0j20dc0dcglw.jpg,"(50, 50)",37,3,36.813497,118.055007,Zībó 淄博,山东 淄博,m,68,None,493,80,21,takepollutionpics
66,http://ww3.sinaimg.cn/mw1024/a8033a29jw1eojtehevvzj218g18gnhr.jpg,污染但又美丽的天空#随手拍#,"(1024, 1024)",2818783785,苏佳-gain,http://ww4.sinaimg.cn/crop.0.0.640.640.1024/a8033a29jw8eqh7s6fbhrj20hs0hs752.jpg,"(50, 50)",37,2,36.06722,120.382504,Qīngdǎo 青岛,山东 青岛,f,37,None,53,80,16,takepollutionpics
67,http://ww4.sinaimg.cn/mw1024/9c5f018djw1eo3btycayoj20xc18ggrs.jpg,里一条河都是深绿色的，还有恶臭 |爱迪生路,"(1024, 1365)",2623472013,值得爱一辈子的人,http://ww4.sinaimg.cn/crop.396.0.764.764.1024/9c5f018dgw1ea0s9cu499j211y0lcgtg.jpg,"(50, 50)",31,15,31.221959,121.544721,Pǔdōngxīnqū 浦东新区,上海 浦东新区,m,730,None,33,80,13,takepollutionpics
68,http://ww3.sinaimg.cn/mw1024/7ccf5c74jw1ekpl22sfxhj21401z4ap0.jpg,随手拍#保护了树木，污染了环境 @微凉天光,"(1024, 1820)",2093964404,大青海网,http://tp1.sinaimg.cn/2093964404/180/40021502354/1,"(50, 50)",63,1000,36.620989,101.779988,Unknown,青海,m,1558,None,113,80,26,takepollutionpics
70,http://ww3.sinaimg.cn/mw1024/afa5fb76jw1eip9apqm6tj20xc18g42f.jpg,纯子要goodgoodstudy #随手拍身边精神污染#,"(1024, 1365)",2946890614,回忆专円小马甲,http://ww4.sinaimg.cn/crop.0.1.750.750.1024/afa5fb76jw8ercdywykeaj20ku0kw403.jpg,"(50, 50)",400,15,35.1463817,139.6163234,Rìběn 日本,海外 日本,f,47,None,3,80,18,takepollutionpics
